rct_num,treated,n_hh,MAR,intake_protein,intake_calcium,intake_iron,intake_vitc,nar_protein,nar_calcium,nar_iron,nar_vitc,country,treatment
1.0,1.0,5.0,0.4855284019440399,40.88457144532885,267.4516572059904,13.100000002384188,8.487142857142855,0.8176914289065771,0.2674516572059904,0.6683673470604177,0.1886031746031745,Mexico (PAL),Treatment
1.0,0.0,3.0,0.7125680183796813,86.55342853225413,351.7218089608919,44.70233317074321,22.4347619051025,1.0,0.3517218089608919,1.0,0.4985502645578333,Mexico (PAL),Control
1.0,0.0,3.0,0.8673666666666666,110.83809523809524,469.4666666666666,36.73333333333333,50.8952380952381,1.0,0.4694666666666666,1.0,1.0,Mexico (PAL),Control
1.0,0.0,3.0,0.8633234824361901,128.57187460888002,453.2939297447602,47.94220910994779,186.37904754990623,1.0,0.4532939297447602,1.0,1.0,Mexico (PAL),Control
1.0,1.0,5.0,0.7293931022088065,64.11582855718477,477.8263770891939,22.118285712259155,19.78857142857143,1.0,0.4778263770891939,1.0,0.4397460317460318,Mexico (PAL),Treatment
1.0,0.0,4.0,0.8060395783853466,99.3571428702346,466.3805357636085,33.31517857329121,34.1,1.0,0.4663805357636085,1.0,0.7577777777777778,Mexico (PAL),Control
1.0,0.0,8.0,0.4917369422173631,40.38035714285714,267.7160714285714,12.889285714285714,10.530357142857142,0.8076071428571429,0.2677160714285714,0.6576166180758017,0.2340079365079364,Mexico (PAL),Control
1.0,1.0,3.0,1.0,304.7950475604762,1398.547618373235,94.13476169308024,53.36190476190476,1.0,1.0,1.0,1.0,Mexico (PAL),Treatment
1.0,0.0,4.0,0.7552150979027773,106.3759823194572,529.3469802155026,61.43868628080402,22.118103512802293,1.0,0.5293469802155026,1.0,0.4915134113956065,Mexico (PAL),Control
1.0,0.0,4.0,0.631563157789149,73.19943548526082,133.57009263208934,23.39607847013644,17.670714233602798,1.0,0.1335700926320893,1.0,0.3926825385245066,Mexico (PAL),Control
1.0,0.0,4.0,0.5562907342180352,48.35167874943998,139.0499999627471,16.519999938032456,12.430000000127723,0.9670335749887996,0.1390499999627471,0.8428571396955334,0.2762222222250605,Mexico (PAL),Control
1.0,0.0,4.0,0.8337500906051802,89.8639991449458,335.0003624207207,39.9335708606456,227.19107115353856,1.0,0.3350003624207207,1.0,1.0,Mexico (PAL),Control
1.0,1.0,3.0,0.3554475243908066,12.507618994372235,220.8095231964475,15.019047426609768,8.304761904761905,0.2501523798874447,0.2208095231964474,0.7662779299290697,0.1845502645502645,Mexico (PAL),Treatment
1.0,1.0,5.0,0.6609833651297055,33.376514292103906,212.08571435928343,21.26257145166397,34.39428571428572,0.6675302858420781,0.2120857143592834,1.0,0.7643174603174605,Mexico (PAL),Treatment
1.0,1.0,2.0,0.87533125,115.18214285714286,501.325,38.95714285714286,267.7214285714286,1.0,0.501325,1.0,1.0,Mexico (PAL),Treatment
1.0,0.0,4.0,0.5451753653261131,19.281714233117448,79.67541396798833,14.021678548412664,65.04821425676346,0.3856342846623489,0.0796754139679883,0.7153917626741154,1.0,Mexico (PAL),Control
1.0,0.0,4.0,0.8801031382956409,92.90139341402266,520.4125531825636,30.22366078320358,161.59642853864602,1.0,0.5204125531825635,1.0,1.0,Mexico (PAL),Control
1.0,0.0,5.0,0.4674528238066276,32.689279997008185,158.76628559657505,12.513679997580391,18.846285686492923,0.6537855999401637,0.158766285596575,0.6384530611010404,0.4188063485887316,Mexico (PAL),Control
1.0,0.0,6.0,0.4922382702032041,33.18489541964872,201.67929737057003,15.151780914054031,14.873662278623808,0.6636979083929744,0.20167929737057,0.7730500466354097,0.3305258284138624,Mexico (PAL),Control
1.0,1.0,4.0,0.0653874304653437,4.297478575951287,23.74142864793539,1.554264286054032,3.265178554185799,0.0859495715190257,0.0237414286479353,0.0792991982680628,0.0725595234263511,Mexico (PAL),Treatment
1.0,1.0,7.0,0.40790223382043,9.744069408154004,45.60468557635132,7.666008086228858,78.85632652068624,0.19488138816308,0.0456046855763513,0.3911228615422886,1.0,Mexico (PAL),Treatment
1.0,0.0,16.0,0.570794387755102,25.509821428571428,139.37142857142857,12.41875,102.67232142857142,0.5101964285714286,0.1393714285714285,0.633609693877551,1.0,Mexico (PAL),Control
1.0,0.0,1.0,0.7867749640037971,35.22671426598515,442.5655706954854,24.30742851666042,106.42714271971155,0.7045342853197031,0.4425655706954854,1.0,1.0,Mexico (PAL),Control
1.0,0.0,1.0,0.84128235439547,94.41548615630184,559.5421175386224,75.33362951172249,36.251428501946585,1.0,0.5595421175386224,1.0,0.8055873000432574,Mexico (PAL),Control
1.0,0.0,4.0,0.6620427577784432,57.66535712352156,352.6392850971648,30.771178619264223,13.298928570747377,1.0,0.3526392850971647,1.0,0.2955317460166083,Mexico (PAL),Control
1.0,1.0,4.0,0.7142686133683851,92.8227142846478,275.0506424075791,31.26539271755941,26.191071497968263,1.0,0.2750506424075791,1.0,0.5820238110659613,Mexico (PAL),Treatment
1.0,1.0,4.0,0.8135589640102217,62.42150032605445,254.2358560408865,24.8826070862157,128.69196428571428,1.0,0.2542358560408865,1.0,1.0,Mexico (PAL),Treatment
1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mexico (PAL),Control
1.0,0.0,3.0,0.6748927065470232,69.98892368362064,395.6978107792991,20.78635236649286,13.674285693395705,1.0,0.3956978107792991,1.0,0.3038730154087934,Mexico (PAL),Control
1.0,0.0,5.0,0.6594767128956885,58.67817151699746,222.1989150687626,25.20954312614032,18.70685714312962,1.0,0.2221989150687626,1.0,0.4157079365139915,Mexico (PAL),Control
